Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population_Staying_at_Home,Population_Not_Staying_at_Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2019/01/01,17,IL,17019,Champaign County,53219,156470,620186,157144,183856,82349,85229,74420,16694,10612,7639,1314,929,17-17019-20190101
County,2019/01/02,17,IL,17019,Champaign County,42435,167254,808839,183882,242006,118032,116226,105226,20408,13451,7554,1354,700,17-17019-20190102
County,2019/01/03,17,IL,17019,Champaign County,44256,165433,856215,193087,245137,118653,132961,117416,23893,14046,8653,1629,740,17-17019-20190103
County,2019/01/04,17,IL,17019,Champaign County,42978,166711,864567,190527,252826,125215,128441,118753,23777,13976,8685,1568,799,17-17019-20190104
County,2019/01/05,17,IL,17019,Champaign County,44312,165377,847320,194461,242726,122259,130426,111038,22049,13036,9190,1362,773,17-17019-20190105
County,2019/01/06,17,IL,17019,Champaign County,47919,161770,726816,165141,221089,99064,109246,87907,20709,12925,8632,1257,846,17-17019-20190106
County,2019/01/07,17,IL,17019,Champaign County,45129,164560,795295,187681,233443,111443,112200,107092,21105,12140,8367,1049,775,17-17019-20190107
County,2019/01/08,17,IL,17019,Champaign County,46076,163613,789824,183217,233540,112501,113648,105497,20186,11442,7873,1112,808,17-17019-20190108
County,2019/01/09,17,IL,17019,Champaign County,45667,164022,794814,183500,234400,112054,118647,103910,19890,12100,8085,1320,908,17-17019-20190109
County,2019/01/10,17,IL,17019,Champaign County,44741,164948,809259,190196,233598,115375,117777,109387,21108,11739,8109,1144,826,17-17019-20190110
County,2019/01/11,17,IL,17019,Champaign County,40086,169603,830576,208901,226107,112418,117733,120220,22242,12591,8360,1347,657,17-17019-20190111
County,2019/01/12,17,IL,17019,Champaign County,48533,161156,729944,181342,231311,104184,100612,79517,12980,10103,8101,1115,679,17-17019-20190112
County,2019/01/13,17,IL,17019,Champaign County,47164,162525,712538,174762,219451,102800,96618,78732,16410,11417,10145,1325,878,17-17019-20190113
County,2019/01/14,17,IL,17019,Champaign County,46096,163593,780143,206362,230500,108997,98758,95613,18211,11221,8207,1326,948,17-17019-20190114
County,2019/01/15,17,IL,17019,Champaign County,45270,164419,806194,229423,238928,103724,99094,96334,18826,10666,7224,1120,855,17-17019-20190115
County,2019/01/16,17,IL,17019,Champaign County,44444,165245,796802,218754,232325,108319,96561,100282,19254,11938,7491,1016,862,17-17019-20190116
County,2019/01/17,17,IL,17019,Champaign County,44231,165458,769402,195778,235412,104752,97267,96705,18884,10868,7679,1216,841,17-17019-20190117
County,2019/01/18,17,IL,17019,Champaign County,44183,165506,789201,195295,232376,106487,104227,104717,22393,12989,8669,1168,880,17-17019-20190118
County,2019/01/19,17,IL,17019,Champaign County,48697,160992,745445,193687,237370,96530,96135,87472,14553,10413,7528,953,804,17-17019-20190119
County,2019/01/20,17,IL,17019,Champaign County,48450,161239,709654,173690,226790,101209,91155,80275,15756,10364,8426,1085,904,17-17019-20190120
County,2019/01/21,17,IL,17019,Champaign County,47862,161827,748138,187172,228762,104506,96311,89815,19612,11924,8109,1053,874,17-17019-20190121
County,2019/01/22,17,IL,17019,Champaign County,44880,164809,782210,212903,239965,104437,87215,95943,20601,11675,7629,1054,788,17-17019-20190122
County,2019/01/23,17,IL,17019,Champaign County,45224,164465,804647,221685,239342,104747,99197,98356,19876,11877,7393,1252,922,17-17019-20190123
County,2019/01/24,17,IL,17019,Champaign County,46310,163379,817841,218789,247025,106547,101553,100256,21437,12196,7852,1137,1049,17-17019-20190124
County,2019/01/25,17,IL,17019,Champaign County,43363,166326,816753,214281,238753,110523,105613,100756,21901,13982,8885,1207,852,17-17019-20190125
County,2019/01/26,17,IL,17019,Champaign County,45203,164486,798976,212068,243388,105622,99383,93239,20674,13884,9028,950,740,17-17019-20190126
County,2019/01/27,17,IL,17019,Champaign County,49484,160205,700586,179161,225031,93205,89294,76052,15494,12451,8218,920,760,17-17019-20190127
County,2019/01/28,17,IL,17019,Champaign County,44448,165241,813351,233800,237986,104147,101187,98145,19229,10445,7041,690,681,17-17019-20190128
County,2019/01/29,17,IL,17019,Champaign County,46832,162857,788456,221034,242501,101839,94430,90464,17865,11044,7650,861,768,17-17019-20190129
County,2019/01/30,17,IL,17019,Champaign County,48550,161139,722073,196540,232068,96252,84027,77488,15347,10804,8000,886,661,17-17019-20190130
County,2019/01/31,17,IL,17019,Champaign County,46255,163434,779403,220177,237481,98663,89996,93729,18822,11309,7763,872,591,17-17019-20190131
County,2019/02/01,17,IL,17019,Champaign County,46600,163089,820533,214271,246008,113091,108451,97179,19669,11452,8430,1119,863,17-17019-20190201
County,2019/02/02,17,IL,17019,Champaign County,47618,162071,796849,204533,236634,105377,111142,95037,20531,13386,8334,1184,691,17-17019-20190202
County,2019/02/03,17,IL,17019,Champaign County,48655,161034,750067,195680,230970,102111,93564,85902,18600,13438,8222,843,737,17-17019-20190203
County,2019/02/04,17,IL,17019,Champaign County,46006,163683,804487,225045,242173,103769,95583,95688,19109,12213,8829,1214,864,17-17019-20190204
County,2019/02/05,17,IL,17019,Champaign County,47086,162603,794051,218036,236428,103304,100073,96345,19103,10803,7978,1148,833,17-17019-20190205
County,2019/02/06,17,IL,17019,Champaign County,45941,163748,819838,224293,248042,105940,100865,98631,20311,12016,7575,1312,853,17-17019-20190206
County,2019/02/07,17,IL,17019,Champaign County,44003,165686,828651,233983,247857,107806,97816,97835,20454,12087,8755,1120,938,17-17019-20190207
County,2019/02/08,17,IL,17019,Champaign County,44801,164888,839695,219105,250965,115012,107180,101952,21874,12150,9116,1336,1005,17-17019-20190208
County,2019/02/09,17,IL,17019,Champaign County,46065,163624,861614,228551,248210,120655,113392,106646,22104,11139,8831,1146,940,17-17019-20190209
County,2019/02/10,17,IL,17019,Champaign County,46789,162900,758875,209035,224345,97799,96319,89565,19011,12211,8499,1148,943,17-17019-20190210
County,2019/02/11,17,IL,17019,Champaign County,45899,163790,798860,221135,230732,108873,95048,100034,19902,11883,8831,1358,1064,17-17019-20190211
County,2019/02/12,17,IL,17019,Champaign County,44751,164938,799014,214279,235800,105063,99023,101929,21036,11348,8421,1113,1002,17-17019-20190212
County,2019/02/13,17,IL,17019,Champaign County,46274,163415,829871,220378,245299,115174,104282,102394,19128,12690,8358,1046,1122,17-17019-20190213
County,2019/02/14,17,IL,17019,Champaign County,44820,164869,843040,222804,251364,116579,109518,98444,20824,12093,8928,1317,1169,17-17019-20190214
County,2019/02/15,17,IL,17019,Champaign County,45006,164683,848005,220224,251180,112411,111712,104278,22550,13446,9548,1595,1061,17-17019-20190215
County,2019/02/16,17,IL,17019,Champaign County,46025,163664,835315,216865,246217,112294,109593,102345,23450,13306,8843,1387,1015,17-17019-20190216
County,2019/02/17,17,IL,17019,Champaign County,48386,161303,723534,176756,223582,97244,96698,86857,19405,12553,8404,1184,851,17-17019-20190217
County,2019/02/18,17,IL,17019,Champaign County,48045,161644,786290,203364,233945,109525,100574,96516,20591,11695,7973,1212,895,17-17019-20190218
County,2019/02/19,17,IL,17019,Champaign County,46985,162704,828288,226034,242887,114175,102332,101019,20569,10959,8076,1230,1007,17-17019-20190219
