Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population_Staying_at_Home,Population_Not_Staying_at_Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
State,2019/01/01,17,IL,,,3216509,9485624,37861772,10379933,9779855,4458549,5323815,5015994,1896931,537863,310150,86905,71777,17-00000-20190101
State,2019/01/02,17,IL,,,2548222,10153911,48322386,12507348,11999756,5809403,7206686,7212116,2525987,582941,322723,90496,64930,17-00000-20190102
State,2019/01/03,17,IL,,,2618092,10084041,49848746,12837958,12349455,6025051,7549349,7397778,2571774,603484,342963,101304,69630,17-00000-20190103
State,2019/01/04,17,IL,,,2552814,10149319,50485821,12737775,12482292,6198020,7743386,7574824,2594318,618875,363747,102505,70079,17-00000-20190104
State,2019/01/05,17,IL,,,2641840,10060293,50983681,13179166,13050126,6363928,7761901,7051094,2428260,634346,354626,96469,63765,17-00000-20190105
State,2019/01/06,17,IL,,,2783775,9918358,45313739,11623136,12048846,5710220,6774211,6023558,2084770,562158,328267,94118,64455,17-00000-20190106
State,2019/01/07,17,IL,,,2631044,10071089,47704876,12744526,11979335,5675352,6995140,6836479,2431924,566882,319154,90603,65481,17-00000-20190107
State,2019/01/08,17,IL,,,2654025,10048108,47770724,12655625,11936641,5679971,7053575,6956699,2452505,562835,315524,91410,65939,17-00000-20190108
State,2019/01/09,17,IL,,,2633871,10068262,47342001,12257005,11984561,5645158,7025294,6942817,2421542,574667,328400,93547,69010,17-00000-20190109
State,2019/01/10,17,IL,,,2576337,10125796,48603603,12793118,12087186,5742774,7205014,7180919,2507066,591339,332788,95948,67451,17-00000-20190110
State,2019/01/11,17,IL,,,2486928,10215205,49782689,13090115,12346664,5932053,7389219,7344230,2558335,614189,348786,94619,64479,17-00000-20190111
State,2019/01/12,17,IL,,,2721997,9980136,48087456,12693010,12816341,5973620,7065849,6370628,2136143,554882,333949,87944,55090,17-00000-20190112
State,2019/01/13,17,IL,,,2810794,9891339,45656488,11751034,12338642,5725577,6687301,6012146,2108148,570568,321930,87842,53300,17-00000-20190113
State,2019/01/14,17,IL,,,2629037,10073096,47912990,12821114,12024747,5633904,6899051,6944643,2536668,595445,312041,86657,58720,17-00000-20190114
State,2019/01/15,17,IL,,,2614165,10087968,47411505,12765313,11835145,5501447,6811023,6946632,2521464,582088,303012,86980,58401,17-00000-20190115
State,2019/01/16,17,IL,,,2564738,10137395,47731580,12681315,11750549,5536046,6973450,7124346,2559837,610351,329438,98265,67983,17-00000-20190116
State,2019/01/17,17,IL,,,2557260,10144873,48735538,13028954,11925771,5670567,7122257,7286176,2588444,611556,336760,98521,66532,17-00000-20190117
State,2019/01/18,17,IL,,,2502150,10199983,49755294,13271209,12374292,5820101,7159548,7374293,2623836,635883,339630,92919,63583,17-00000-20190118
State,2019/01/19,17,IL,,,2814127,9888006,47159364,12397212,12802673,5847796,6713879,6176040,2157621,594994,324279,86435,58435,17-00000-20190119
State,2019/01/20,17,IL,,,2816999,9885134,45013146,11617220,12066071,5583060,6481052,5985447,2177327,606376,337192,94353,65048,17-00000-20190120
State,2019/01/21,17,IL,,,2710809,9991324,46237332,12047231,11862165,5594459,6607221,6594960,2424701,613905,331397,95156,66137,17-00000-20190121
State,2019/01/22,17,IL,,,2530525,10171608,47892066,13203804,11981767,5478257,6655886,6961632,2552176,591405,310182,94943,62014,17-00000-20190122
State,2019/01/23,17,IL,,,2568073,10134060,47201360,12559170,11839537,5519571,6767114,6966276,2475016,585220,320383,98917,70156,17-00000-20190123
State,2019/01/24,17,IL,,,2586839,10115294,48191205,12630710,11941211,5663378,7019237,7231793,2581540,622825,324552,100695,75264,17-00000-20190124
State,2019/01/25,17,IL,,,2526881,10175252,48486753,12674589,12200192,5740007,7047361,7125432,2539797,639491,349032,98695,72157,17-00000-20190125
State,2019/01/26,17,IL,,,2640985,10061148,49406049,13251045,12884648,6043278,7114056,6642698,2332506,639904,339400,94419,64095,17-00000-20190126
State,2019/01/27,17,IL,,,2819740,9882393,44528053,11567641,12335617,5570141,6343167,5672954,2023308,560720,306630,86354,61521,17-00000-20190127
State,2019/01/28,17,IL,,,2649753,10052380,47810664,13901548,12423704,5572535,6498490,6250712,2225135,527670,279298,76856,54716,17-00000-20190128
State,2019/01/29,17,IL,,,2670538,10031595,47079612,13348645,12013539,5352059,6412825,6579636,2391304,550288,286586,84259,60471,17-00000-20190129
State,2019/01/30,17,IL,,,2905898,9796235,43667050,12275659,12219624,5152602,5746602,5312912,1997801,524330,297534,83946,56040,17-00000-20190130
State,2019/01/31,17,IL,,,2756134,9945999,46083047,12869387,12128333,5346101,6298045,6240686,2229883,540408,291712,81445,57047,17-00000-20190131
State,2019/02/01,17,IL,,,2629746,10072387,49164949,12669558,12614648,5919760,7210012,7173661,2500240,594933,324508,89786,67843,17-00000-20190201
State,2019/02/02,17,IL,,,2724300,9977833,50250805,13063339,13178324,6197483,7433086,6906788,2377481,621348,321265,90151,61540,17-00000-20190202
State,2019/02/03,17,IL,,,2800645,9901488,46511356,12054781,12598671,5787715,6789248,6110498,2126919,578042,311786,91223,62473,17-00000-20190203
State,2019/02/04,17,IL,,,2582006,10120127,48150040,12591217,12026393,5683247,7034489,7091677,2586918,621030,336988,103302,74779,17-00000-20190204
State,2019/02/05,17,IL,,,2598489,10103644,47906119,13211191,11827312,5475980,6747677,7037819,2545422,578789,316686,97038,68205,17-00000-20190205
State,2019/02/06,17,IL,,,2553583,10148550,47945275,12793286,11757470,5556840,6957691,7143707,2611259,603727,334913,106968,79414,17-00000-20190206
State,2019/02/07,17,IL,,,2483549,10218584,49423631,13353234,11913274,5674676,7131448,7402350,2729589,656129,368424,112137,82370,17-00000-20190207
State,2019/02/08,17,IL,,,2535480,10166653,49305281,12531873,12139550,5922807,7396168,7410109,2669412,659610,375481,115020,85251,17-00000-20190208
State,2019/02/09,17,IL,,,2647682,10054451,50518208,13110731,12762353,6204355,7560434,7138242,2539268,657464,361448,109309,74604,17-00000-20190209
State,2019/02/10,17,IL,,,2741153,9960980,45984616,12182170,12010767,5685180,6671314,6092629,2207477,609248,348942,103274,73615,17-00000-20190210
State,2019/02/11,17,IL,,,2541423,10160710,48229989,12973600,11699063,5609863,6970652,7142165,2640802,645867,353899,112063,82015,17-00000-20190211
State,2019/02/12,17,IL,,,2534541,10167592,48568322,13070794,12032126,5648689,6994031,7109244,2568745,623950,341800,104608,74335,17-00000-20190212
State,2019/02/13,17,IL,,,2562327,10139806,49259621,12707520,12136346,5895869,7252765,7415154,2656829,645288,357743,110814,81293,17-00000-20190213
State,2019/02/14,17,IL,,,2481753,10220380,50016183,12579213,12289117,6008151,7537070,7615510,2726620,673502,380024,119794,87182,17-00000-20190214
State,2019/02/15,17,IL,,,2513683,10188450,49895125,12535625,12206105,5982729,7501779,7671783,2708903,693697,388516,119160,86828,17-00000-20190215
State,2019/02/16,17,IL,,,2637687,10064446,49908318,12825718,12518274,6166900,7482130,7153466,2525893,680656,372247,108573,74461,17-00000-20190216
State,2019/02/17,17,IL,,,2805207,9896926,44902402,12059279,11713620,5506964,6484577,6004935,2078343,570795,327991,93551,62347,17-00000-20190217
State,2019/02/18,17,IL,,,2687162,10014971,46599998,11936391,11591807,5602713,6892686,7011302,2469947,610698,321751,93527,69176,17-00000-20190218
State,2019/02/19,17,IL,,,2604685,10097448,48512021,12832834,12004053,5788241,7091951,7185965,2510307,597888,325493,101623,73666,17-00000-20190219
State,2019/02/20,17,IL,,,2563216,10138917,48817047,12649305,11972900,5785474,7259085,7422727,2588069,615745,341583,104962,77197,17-00000-20190220
State,2019/02/21,17,IL,,,2593114,10109019,50222823,12776850,12334704,6082358,7584483,7618178,2624967,643296,358717,114167,85103,17-00000-20190221
State,2019/02/22,17,IL,,,2482995,10219138,50931193,12887798,12557121,6160251,7695096,7728884,2660363,664435,378974,116195,82076,17-00000-20190222
State,2019/02/23,17,IL,,,2628766,10073367,50468170,13005938,12819140,6291378,7628995,7105223,2412725,656862,366576,108633,72700,17-00000-20190223
State,2019/02/24,17,IL,,,2745882,9956251,45271309,11593555,11931582,5684805,6702632,6163823,2112791,577154,338441,100527,65999,17-00000-20190224
State,2019/02/25,17,IL,,,2573458,10128675,48348674,12567502,11842767,5731126,7112166,7336089,2562285,631653,363247,118666,83173,17-00000-20190225
State,2019/02/26,17,IL,,,2549285,10152848,48407808,12645704,11904825,5694698,7126877,7343759,2551381,606646,345417,111243,77258,17-00000-20190226
State,2019/02/27,17,IL,,,2551807,10150326,50412771,12872459,12631391,6036347,7506656,7695325,2593314,598780,311615,95439,71445,17-00000-20190227
State,2019/02/28,17,IL,,,2559132,10143001,50742410,12807597,12720060,6104759,7601886,7785733,2624907,602391,323293,97575,74209,17-00000-20190228
State,2019/03/01,17,IL,,,2536371,10165762,50687180,12634120,12525235,6217319,7731534,7681019,2635781,668045,387421,121311,85395,17-00000-20190301
State,2019/03/02,17,IL,,,2649215,10052918,51033559,12964222,12921620,6385897,7790148,7280898,2476678,656150,367594,115055,75297,17-00000-20190302
State,2019/03/03,17,IL,,,2810317,9891816,45644061,11576309,12046065,5731412,6759948,6253966,2161073,590306,345860,108553,70569,17-00000-20190303
State,2019/03/04,17,IL,,,2665251,10036882,47868290,12470590,11653089,5648381,7076558,7245003,2569353,628848,363948,124653,87867,17-00000-20190304
State,2019/03/05,17,IL,,,2613366,10088767,48104162,12649520,11919931,5712990,7085587,7113410,2474961,600565,348836,117934,80428,17-00000-20190305
State,2019/03/06,17,IL,,,2583420,10118713,49765405,12908491,12365701,5977672,7378074,7445934,2546767,608388,339895,111265,83218,17-00000-20190306
State,2019/03/07,17,IL,,,2433719,10268414,49998313,12766728,12422398,5980281,7506292,7530380,2562147,651202,374231,119087,85567,17-00000-20190307
State,2019/03/08,17,IL,,,2580333,10121800,54188313,13571476,13396463,6590510,8244572,8246202,2821968,703250,396943,127229,89700,17-00000-20190308
State,2019/03/09,17,IL,,,2659940,10042193,54004509,13898210,13701050,6723467,8146908,7659677,2576081,707116,390025,119664,82311,17-00000-20190309
State,2019/03/10,17,IL,,,2809878,9892255,49059315,12435344,13024054,6152890,7299548,6717187,2291948,610585,348866,103801,75092,17-00000-20190310
State,2019/03/11,17,IL,,,2611281,10090852,54296443,13867760,13546485,6468577,8087701,8240909,2844133,663885,365174,117984,93835,17-00000-20190311
State,2019/03/12,17,IL,,,2569825,10132308,52451734,13732947,13031009,6159190,7755287,7885631,2718019,633925,345643,108620,81463,17-00000-20190312
State,2019/03/13,17,IL,,,2527779,10174354,53775187,13794642,13540295,6382094,7930032,8197437,2796568,631291,330399,97015,75414,17-00000-20190313
State,2019/03/14,17,IL,,,2490266,10211867,55232071,14628247,13642643,6446961,8068576,8370682,2889128,666340,345586,99050,74858,17-00000-20190314
State,2019/03/15,17,IL,,,2515281,10186852,58130364,14392821,14497653,7018742,8839228,9063927,3017443,721572,384573,112055,82350,17-00000-20190315
State,2019/03/16,17,IL,,,2644427,10057706,59025675,15032009,15108899,7404383,8959341,8472446,2779719,706560,375624,109617,77077,17-00000-20190316
